"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ALCOHOL","TOT","LT_CAP15","A","2017",9.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2017",11.3,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2018",11.3,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2019",11.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2020",11.3,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2021",11.1,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2017",9.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2018",9.2,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2019",9.2,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2017",8.2,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2018",8.2,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2019",8,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2020",8.1,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2021",8.3,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2022",8.1,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2017",11.6,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2018",11.8,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2019",11.9,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2020",11.6,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2021",11.6,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2017",9.7,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2018",9.7,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2019",9.5,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2020",9.7,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2021",10.4,"D"
"FIN","ALCOHOL","TOT","LT_CAP15","A","2017",8.4,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2018",8.4,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2019",8.2,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2020",8.2,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2021",8.1,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2017",11.7,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2018",11.6,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2019",11.4,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2020",10.4,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2021",10.5,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2017",10.9,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2018",10.9,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2019",10.6,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2017",6.7,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2018",6.5,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2019",6.3,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2017",10.7,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2018",11.4,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2019",10.7,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2020",10.4,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2021",10.4,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2017",7.7,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2018",7.7,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2019",7.4,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2020",7.4,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2017",11,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2018",11,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2019",10.8,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2020",10.1,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2021",9.5,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2022",10.2,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2017",7.4,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2018",7.8,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2019",7.7,
