State,2022,,2021,,2020 (41),,2019,,2018,,2017 (40),,2017,,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error
United States,74580.00,588.00,70780.00,368.00,68010.00,535.00,68700.00,550.00,63180.00,420.00,61140.00,322.00,61370.00,335.00,59040.00,436.00,56520.00,321.00,53660.00,392.00,53590.00,654.00,51940.00,276.00,51020.00,209.00,50050.00,251.00,49280.00,325.00,49780.00,213.00,50300.00,137.00,50230.00,140.00,48200.00,207.00,46330.00,155.00,44330.00,196.00,43320.00,188.00,42410.00,139.00,42230.00,129.00,41990.00,132.00,40700.00,190.00,38890.00,230.00,37010.00,171.00,35490.00,179.00,34080.00,197.00,32260.00,147.00,31240.00,146.00,30640.00,145.00,30130.00,144.00,29940.00,153.00,28910.00,159.00,27230.00,139.00,26060.00,127.00,24900.00,129.00,23620.00,128.00,22420.00,102.00
Alabama,59910.00,1934.00,56930.00,2294.00,54690.00,2563.00,56200.00,2512.00,49940.00,2423.00,50870.00,1094.00,51110.00,845.00,47220.00,2301.00,44510.00,3419.00,42280.00,1529.00,47320.00,5511.00,41380.00,2315.00,43460.00,2529.00,42590.00,2021.00,40930.00,2396.00,39980.00,904.00,44480.00,1659.00,42210.00,1420.00,37950.00,1014.00,37150.00,1215.00,36630.00,1303.00,37260.00,1580.00,37600.00,1062.00,35160.00,1006.00,35420.00,1072.00,36250.00,1189.00,36270.00,1307.00,31940.00,1607.00,30300.00,1258.00,25990.00,1266.00,27200.00,1559.00,25080.00,1088.00,25810.00,1058.00,24350.00,1068.00,23360.00,1037.00,21280.00,1070.00,19950.00,912.00,19730.00,1147.00,19130.00,885.00,18330.00,760.00,17310.00,605.00
Alaska,89740.00,4842.00,81130.00,3967.00,74750.00,3557.00,78390.00,6685.00,68730.00,3390.00,77990.00,3718.00,72230.00,2719.00,75720.00,4086.00,75110.00,3485.00,67630.00,3153.00,72470.00,5446.00,61140.00,3301.00,63650.00,2839.00,57430.00,3710.00,57850.00,2390.00,61600.00,1751.00,63990.00,2302.00,62990.00,1583.00,56420.00,1495.00,55890.00,1331.00,55060.00,2071.00,51840.00,981.00,52770.00,1073.00,57360.00,2012.00,52850.00,1159.00,51400.00,2226.00,50690.00,2124.00,47990.00,1258.00,52780.00,1907.00,47950.00,2008.00,45370.00,1494.00,42930.00,1643.00,41800.00,1156.00,40610.00,1822.00,39300.00,1627.00,36010.00,1378.00,33100.00,1183.00,33230.00,1497.00,31360.00,1017.00,34780.00,1089.00,32360.00,1473.00
Arizona,73450.00,4123.00,70820.00,3394.00,67090.00,3409.00,70670.00,3391.00,62280.00,2291.00,59700.00,2689.00,61130.00,2642.00,57100.00,1971.00,52250.00,2008.00,49250.00,2304.00,52610.00,4365.00,50600.00,4831.00,47040.00,2922.00,48620.00,2424.00,46900.00,2227.00,45740.00,1241.00,46910.00,1125.00,47220.00,1555.00,46660.00,1246.00,45250.00,1271.00,43850.00,1143.00,41170.00,1422.00,39730.00,1003.00,42700.00,1441.00,39780.00,1210.00,37000.00,1133.00,37090.00,1255.00,32740.00,1297.00,31640.00,1274.00,30860.00,1360.00,31290.00,773.00,30510.00,1120.00,29360.00,1088.00,30740.00,897.00,29220.00,1141.00,28550.00,1210.00,26440.00,843.00,26750.00,892.00,25500.00,718.00,23880.00,744.00,21430.00,609.00
Arkansas,53980.00,2376.00,50780.00,1440.00,50780.00,1837.00,54540.00,2384.00,49780.00,2108.00,49750.00,2491.00,48830.00,2642.00,45910.00,2165.00,42800.00,1572.00,44920.00,2546.00,39380.00,2402.00,39920.00,2389.00,39020.00,2812.00,41300.00,1849.00,38590.00,2464.00,36540.00,909.00,39590.00,1194.00,40800.00,1348.00,37060.00,767.00,36660.00,1309.00,34980.00,994.00,32000.00,776.00,32390.00,778.00,33340.00,1144.00,29700.00,772.00,29680.00,1026.00,27670.00,1160.00,26160.00,1154.00,27120.00,978.00,25810.00,999.00,25570.00,944.00,23040.00,847.00,23880.00,1398.00,23440.00,783.00,22790.00,981.00,21430.00,915.00,20170.00,706.00,18830.00,1008.00,18730.00,765.00,17450.00,764.00,15670.00,748.00
California,85300.00,1960.00,81580.00,1219.00,77650.00,1437.00,78110.00,1850.00,70490.00,1233.00,70040.00,1576.00,69760.00,1452.00,66640.00,1075.00,63640.00,1711.00,60490.00,894.00,60790.00,1811.00,57530.00,1223.00,57020.00,1238.00,53370.00,1378.00,54280.00,1182.00,56130.00,619.00,57010.00,829.00,55730.00,618.00,55320.00,695.00,51760.00,460.00,49220.00,660.00,49300.00,819.00,47440.00,766.00,47260.00,727.00,46820.00,686.00,43630.00,703.00,40930.00,577.00,39690.00,864.00,38810.00,818.00,37010.00,723.00,35330.00,619.00,34070.00,651.00,34900.00,629.00,33660.00,685.00,33290.00,565.00,33010.00,618.00,30290.00,634.00,30150.00,538.00,29010.00,570.00,26980.00,350.00,25290.00,364.00
Colorado,89930.00,3790.00,84950.00,3155.00,83780.00,6019.00,72500.00,5221.00,73030.00,3562.00,74980.00,2661.00,74170.00,2982.00,70570.00,4125.00,66600.00,3682.00,60940.00,2414.00,67910.00,4129.00,63370.00,2800.00,57260.00,2708.00,58630.00,2553.00,60230.00,2481.00,55930.00,1595.00,60940.00,1898.00,61140.00,1014.00,55700.00,1524.00,50450.00,1287.00,50890.00,1590.00,49940.00,1158.00,48290.00,1464.00,49400.00,1190.00,48240.00,1237.00,48180.00,1483.00,46600.00,1086.00,43230.00,1944.00,40950.00,1329.00,40710.00,1552.00,37830.00,1446.00,34490.00,1569.00,32480.00,1471.00,31500.00,1245.00,30730.00,906.00,26810.00,1398.00,26210.00,1285.00,26480.00,1075.00,27190.00,926.00,28180.00,850.00,25800.00,805.00
Connecticut,90730.00,4245.00,80960.00,5261.00,79430.00,3602.00,87290.00,4630.00,72810.00,5119.00,74300.00,3453.00,72780.00,3509.00,75920.00,3404.00,72890.00,4449.00,70160.00,2665.00,69290.00,3238.00,67780.00,2547.00,64250.00,2853.00,65420.00,3014.00,66000.00,2095.00,64850.00,2308.00,64680.00,2701.00,64140.00,2049.00,62400.00,2162.00,56840.00,1633.00,55100.00,1648.00,54970.00,1561.00,53390.00,1370.00,53350.00,1240.00,50170.00,1357.00,50590.00,2296.00,46510.00,2728.00,43990.00,1989.00,42120.00,3087.00,40240.00,2269.00,41100.00,1595.00,39520.00,1660.00,40840.00,1972.00,42150.00,1944.00,38870.00,2097.00,42320.00,1592.00,36210.00,1293.00,32860.00,1362.00,32720.00,1605.00,31090.00,1129.00,29950.00,1238.00
Delaware,80750.00,4160.00,68690.00,2919.00,70020.00,5283.00,74190.00,3009.00,65010.00,3599.00,64960.00,5230.00,62320.00,3300.00,58050.00,2992.00,57760.00,3392.00,57520.00,2970.00,54090.00,4350.00,52220.00,2486.00,48970.00,1976.00,54660.00,1745.00,55210.00,2255.00,52110.00,1781.00,50700.00,1388.00,54590.00,2159.00,52440.00,1730.00,51240.00,1076.00,48050.00,1421.00,49020.00,1378.00,49650.00,1685.00,49600.00,1468.00,50370.00,1508.00,46630.00,2281.00,41460.00,1753.00,43030.00,2062.00,39310.00,1402.00,34930.00,1848.00,35870.00,1191.00,36060.00,849.00,35680.00,1393.00,32590.00,1111.00,30800.00,1113.00,32070.00,1133.00,30510.00,1167.00,29240.00,875.00,25630.00,1212.00,22980.00,1366.00,25820.00,1027.00
