Table with row headers in column A and column headers in rows 4 through 5,,,,,,,,,,,,,,,
"Table A-2.
Households by Total Money Income, Race, and Hispanic Origin of Householder: 1967 to 2020",,,,,,,,,,,,,,,
"(Income in 2020 dollars, adjusted using the CPI-U-RS. Households as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar21.pdf>)",,,,,,,,,,,,,,,
"Race and Hispanic origin of householder
and year",Number (thousands),Percent distribution,,,,,,,,,,"Median income
(dollars)",,"Mean income
(dollars)",
,,Total,"Under $15,000","$15,000 
to
 $24,999","$25,000 
to
 $34,999","$35,000 
to
 $49,999","$50,000 
to
 $74,999","$75,000 
to
 $99,999","$100,000 
to
 $149,999","$150,000 
to
 $199,999","$200,000 and over",Estimate,Margin of error1 (±),Estimate,Margin of error1 (±)
,,,,,,,,,,,,,,,
2020,"129,931",100,9.4,8.7,8.1,11.6,16.5,12.2,15.3,8.0,10.3,"67,521",782,"97,026","1,043"
2019,"128,451",100,8.9,8.0,8.3,11.6,16.5,12.2,15.7,8.4,10.5,"69,560",916,"99,312","1,055"
2018,"128,579",100,10.0,8.7,8.4,12.0,16.9,12.5,15.1,7.3,9.0,"65,127",712,"92,796",925
2017 2,"127,669",100,9.9,9.0,9.2,12.0,16.3,12.2,14.9,7.3,9.2,"64,557",559,"92,547",991
2017,"127,586",100,10.0,9.1,9.1,11.9,16.2,12.4,15.1,7.5,8.8,"64,806",582,"91,044",903
2016,"126,224",100,10.2,9.1,9.1,12.3,16.3,12.5,15.0,7.4,8.2,"63,683",774,"89,683",832
2015,"125,819",100,10.5,9.7,9.7,11.9,16.2,12.4,15.0,7.2,7.4,"61,748",577,"86,601",724
2014,"124,587",100,11.3,10.1,9.5,12.6,16.5,12.1,14.1,6.7,7.0,"58,725",706,"82,892",803
2013 3,"123,931",100,11.3,10.2,9.3,12.0,17.2,12.0,14.1,6.7,7.2,"59,640","1,197","83,691","1,216"
2013 4,"122,952",100,11.2,10.4,9.7,12.3,17.5,12.4,13.9,6.4,6.2,"57,808",505,"80,849",914
2012,"122,459",100,11.3,10.5,9.9,12.6,17.2,12.2,14.0,6.3,6.1,"57,623",388,"80,503",782
2011,"121,084",100,11.2,10.3,10.1,13.1,17.1,11.9,13.9,6.3,6.0,"57,732",476,"80,366",698
2010 5,"119,927",100,11.1,10.6,9.4,13.1,16.8,12.2,14.3,6.3,6.1,"58,627",636,"80,180",705
2009 6,"117,538",100,10.3,9.9,9.4,13.4,17.3,12.5,14.5,6.5,6.2,"60,200",424,"82,210",483
2008,"117,181",100,10.3,9.8,9.5,13.1,17.1,12.4,15.1,6.5,6.2,"60,624",272,"82,464",480
2007,"116,783",100,9.5,9.6,9.4,12.1,17.4,12.8,15.6,7.0,6.6,"62,865",288,"84,611",486
2006,"116,011",100,9.5,9.4,9.4,12.7,17.6,12.7,15.2,6.8,6.7,"62,033",438,"85,673",544
2005,"114,384",100,10.0,9.5,9.6,12.5,17.6,13.0,14.9,6.5,6.4,"61,553",339,"84,164",522
2004 7,"113,343",100,10.0,9.7,9.8,12.7,17.1,12.9,15.1,6.5,6.2,"60,901",443,"83,062",515
2003,"112,000",100,10.1,9.7,9.1,12.9,17.3,12.6,15.5,6.5,6.3,"61,113",436,"83,332",501
2002,"111,278",100,9.8,9.7,9.1,12.8,17.5,12.7,15.8,6.5,6.1,"61,190",330,"83,472",515
2001,"109,297",100,9.5,9.6,8.7,13.1,17.6,12.8,15.8,6.4,6.4,"61,889",311,"85,309",559
2000 8,"108,209",100,8.9,9.4,8.8,13.1,17.2,13.6,15.5,7.1,6.4,"63,292",327,"86,120",558
1999 9,"106,434",100,8.9,9.5,9.1,12.9,17.4,13.4,15.6,6.7,6.5,"63,423",487,"85,306",728
1998,"103,874",100,9.6,9.8,8.9,13.1,17.4,13.7,15.4,6.4,5.7,"61,891",602,"82,535",733
1997,"102,528",100,10.1,10.0,9.5,12.8,18.1,13.2,14.9,6.0,5.3,"59,697",454,"80,163",738
1996,"101,018",100,10.4,10.5,9.5,13.4,17.8,13.5,14.7,5.6,4.7,"58,494",485,"77,662",716
1995 10,"99,627",100,10.3,10.4,10.1,13.1,18.8,13.2,14.4,5.3,4.5,"57,655",548,"76,034",685
1994 11,"98,990",100,11.2,10.7,10.0,13.3,18.5,12.7,14.2,5.2,4.4,"55,905",419,"74,738",661
1993 12,"97,107",100,11.6,10.6,9.7,14.0,18.5,13.0,13.6,5.2,4.0,"55,263",425,"73,282",652
1992 13,"96,426",100,11.7,10.5,10.0,13.5,18.8,13.4,13.7,4.9,3.5,"55,559",433,"70,437",486
1991,"95,669",100,11.4,10.1,9.6,13.9,19.2,13.4,13.9,5.0,3.4,"55,992",443,"70,482",477
