Macrotrends Data Download

U.S. Suicide Rate 2000-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Total, Male, Female
date, Total, Male, Female
2000-12-31,11,17.7,4.5
2001-12-31,11.4,18.3,4.7
2002-12-31,11.8,18.8,5
2003-12-31,11.7,18.6,5
2004-12-31,11.9,18.6,5.4
2005-12-31,11.9,18.7,5.2
2006-12-31,12.1,19.1,5.4
2007-12-31,12.4,19.5,5.5
2008-12-31,12.7,20,5.6
2009-12-31,12.8,20,5.7
2010-12-31,13.1,20.5,5.8
2011-12-31,13.4,20.9,6
2012-12-31,13.5,21.1,6.1
2013-12-31,13.5,21,6.2
2014-12-31,14,21.6,6.5
2015-12-31,14.4,22.2,6.8
2016-12-31,15.1,23.5,7
2017-12-31,15.9,24.9,7.1
2018-12-31,15.7,24.3,7.2
2019-12-31,16.1,25,7.5
